stock_id,company,theme_id,theme_name,proposed_role,research_status,user_review_status,user_decision,user_note
2049,上銀,ROBOTICS,機器人,core,evidence_ready,awaiting_user_review,,
2049,上銀,ROBOT_COMPONENTS,機器人零組件,core,evidence_ready,awaiting_user_review,,
1597,直得,ROBOT_COMPONENTS,機器人零組件,core,evidence_ready,awaiting_user_review,,
1597,直得,ROBOTICS,機器人,related,evidence_ready,awaiting_user_review,,
4540,全球傳動,ROBOT_COMPONENTS,機器人零組件,core,evidence_ready,awaiting_user_review,,
4540,全球傳動,ROBOTICS,機器人,related,evidence_ready,awaiting_user_review,,
6215,和椿,ROBOTICS,機器人,core,evidence_ready,awaiting_user_review,,
7750,新代,ROBOTICS,機器人,related,evidence_ready,awaiting_user_review,,
8374,羅昇,ROBOTICS,機器人,related,evidence_ready,awaiting_user_review,,
4555,氣立,ROBOT_COMPONENTS,機器人零組件,related,evidence_ready,awaiting_user_review,,
4576,大銀微系統,ROBOT_COMPONENTS,機器人零組件,core,evidence_ready,awaiting_user_review,,
4585,達明,ROBOTICS,機器人,core,second_source_confirmed,awaiting_user_review,,
6570,維田,ROBOT_VISION,機器人視覺,related,second_source_confirmed,awaiting_user_review,,
4566,時碩工業,ROBOT_COMPONENTS,機器人零組件,related,second_source_confirmed,awaiting_user_review,,
1536,和大,ROBOT_COMPONENTS,機器人零組件,emerging,second_source_confirmed,awaiting_user_review,,
