theme_id,stock_ids,source_type,publisher,published_date,source_url,evidence_summary,confidence
PCB_PROCESS_EQUIPMENT,3485;2493,financial_media,經濟日報,2026-07-22,https://money.udn.com/money/story/5612/9643041,PCB載板擴產帶動高階濕製程設備需求並點名敘豐與揚博,high
PCB_PROCESS_EQUIPMENT,6438;2467;6664;3485;3563;3455;3030;6658;6727,financial_media,經濟日報,2026-06-29,https://money.udn.com/money/story/11162/9595599,AI高階PCB與載板資本支出帶動設備需求並點名多家設備商,high
PCB_PROCESS_EQUIPMENT,2467,financial_media,MoneyDJ,2026-08-18,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=5bd96489-0ba3-4b95-97ab-c98678491a07,法人看好高階PCB與先進封裝設備雙引擎且PCB設備訂單成長,high
PCB_COPPER_FOIL,8358,financial_media,MoneyDJ,2026-08-05,https://www.moneydj.com/KMDJ/news/newsviewer.aspx?a=e0940ea6-938d-47f2-b93c-0466e360589c,金居高階銅箔鎖定AI伺服器與高功耗平台並進入客戶驗證,high
PCB_COPPER_FOIL,8358,company_disclosure,公開資訊觀測站,2026-05-08,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=fd533747-c852-4d42-935f-1f7c3e1c03cc,金居董事會增加銅箔三廠資本支出以因應AI伺服器高階銅箔需求,high
PCB_GLASS_FIBER,1815,financial_media,MoneyDJ,2026-07-06,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=508d105a-47c3-44ee-95c7-afb7c5b3deff,富喬新廠聚焦高階玻纖布並鎖定AI伺服器低軌衛星與IC載板,high
IC_SUBSTRATE,3037;3189;8046,financial_media,經濟日報,2026-01-21,https://money.udn.com/money/story/5612/9279061,法人持續看好載板三雄受惠AI與高階載板需求,high
PCB,4958;3037;2313;2368;3189;3044,financial_media,經濟日報,2026-05-03,https://money.udn.com/money/story/5612/9478208,法人點名PCB與載板指標廠受惠AI低軌衛星與高階PCB需求,medium_high
AI_SERVER_CONNECTOR,3533,financial_media,MoneyDJ,2026-06-15,https://www.moneydj.com/KMDJ/news/newsviewer.aspx?a=58e4b390-115f-49d2-8683-b0c315bbfd46,嘉澤受惠AI伺服器與資料中心需求並擴充GPU Socket與高速線纜互連技術,high
AI_SERVER_CONNECTOR,3533,broker_commentary,經濟日報,2026-06-05,https://money.udn.com/money/story/5607/9547983,投顧法人上修嘉澤伺服器營收與出貨展望並看好新平台規格升級,high
AI_SERVER_CONNECTOR,3533;3689;7861;3665;3526;6197,financial_media,MoneyDJ,2026-04-13,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=ccd24825-0aeb-4f06-967e-f06a40575380,AI基礎建設與伺服器交換器需求帶動多家連接元件廠且法人反覆點名,high
AI_SERVER_CONNECTOR,3533;6715;7861;3605;3665,broker_commentary,MoneyDJ,2026-04-02,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=c586a0c5-4eb8-4273-b6c7-c59547f2fdc8,法人點名台系連接元件廠受惠AI伺服器世代升級與電力升級趨勢,high
HIGH_SPEED_CONNECTOR,3526,company_commentary,MoneyDJ,2026-07-02,https://www.moneydj.com/KMDJ/news/newsviewer.aspx?a=6e58e1da-3208-489f-9188-f1a9d197cb2d,凡甲法說明確指出高頻高速AI伺服器連接器與連接線需求強勁,high
HIGH_SPEED_CONNECTOR,3526,broker_commentary,MoneyDJ,2026-07-24,https://www.moneydj.com/KMDJ/news/newsviewer.aspx?a=e021558e-46ea-428d-b12d-e399fe9a0ee4,法人指出凡甲PCIe Gen6與MCIO高速連接器下半年放量,high
HIGH_SPEED_CONNECTOR,3533,company_commentary,MoneyDJ,2026-06-15,https://www.moneydj.com/KMDJ/news/newsviewer.aspx?a=58e4b390-115f-49d2-8683-b0c315bbfd46,嘉澤投入高速線纜與NPO CPO Socket互連技術開發,high
HIGH_SPEED_CONNECTOR,3665,financial_media,MoneyDJ,2026-07-23,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=2ae18541-b33e-44ae-844f-66e5df306757,貿聯KY高速互聯AEC與ALC產品獲客戶採用並擴產,high
HIGH_POWER_CONNECTOR,3526,company_commentary,經濟日報,2026-07-01,https://money.udn.com/money/amp/story/5612/9600615,凡甲法說指出AI伺服器高功率大電流連接器需求強烈,high
HIGH_POWER_CONNECTOR,3526,financial_media,MoneyDJ,2026-08-19,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=910b2e81-5e69-4508-97a9-aa53ae7f2c8c,凡甲400VDC高功率產品下半年有機會出貨且800VDC持續開發,high
HIGH_POWER_CONNECTOR,3665,financial_media,MoneyDJ,2026-07-17,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=128822cd-7b4d-46b1-a6fb-e313eb4b72c1,貿聯KY高功率電源互聯產品與High Power產線持續擴張,high
